feature,A,B,abs_difference
DBP,0.48478566517174493,0.1410714854153624,0.3437141797563825
Unit1,0.4792900319167496,0.2847214116698322,0.1945686202469174
Unit2,0.4792900319167496,0.2847214116698322,0.1945686202469174
FiO2,0.8577806056998594,0.9776216801247838,0.11984107442492442
Resp,0.09992713539475169,0.21365512557961863,0.11372799018486694
BaseExcess,0.8939768680534887,0.9978247721316172,0.1038479040781285
Glucose,0.8758222924641578,0.7778349585645619,0.09798733389959591
pH,0.883550045668661,0.9778392029116221,0.09428915724296105
HCO3,0.9192537022403301,0.9982651231391191,0.07901142089878899
Chloride,0.9166418653338944,0.9938456967626242,0.07720383142872989
EtCO2,1.0,0.9275649119828528,0.07243508801714715
PaCO2,0.911084656356154,0.9778126757424954,0.06672801938634143
Hct,0.8797066943073244,0.9419214159141793,0.06221472160685493
MAP,0.10302131546269025,0.14984136752862282,0.046820052065932566
HR,0.07828840016009687,0.12254491049733136,0.04425651033723449
PTT,0.9517708151599429,0.990057617011343,0.0382868018514001
Potassium,0.8896614361511068,0.9232568997166898,0.03359546356558296
SaO2,0.9492410792171673,0.9813195675010346,0.03207848828386728
Magnesium,0.9217218624603606,0.9524686183589232,0.030746755898562572
Hgb,0.9106998080889974,0.941374956230171,0.030675148141173558
BUN,0.9183044098480105,0.9448500153857581,0.02654560553774754
WBC,0.9246672345316653,0.9475929246734506,0.02292569014178525
O2Sat,0.1203343561745056,0.1422174591216324,0.021883102947126795
Phosphate,0.9498824929957616,0.9708360302621946,0.02095353726643301
Calcium,0.9509395429028848,0.9318039536092866,0.019135589293598265
TroponinI,0.9987736168553278,0.9812081533907028,0.017565463464625064
Lactate,0.9646401412136575,0.9813726218392878,0.016732480625630264
SBP,0.15529910407323405,0.1408698789300001,0.014429225143233942
Platelets,0.9348888045073429,0.9467918041658266,0.011902999658483737
Creatinine,0.9342268654878336,0.9447863501798542,0.010559484692020615
Bilirubin_total,0.9879465522726573,0.9819562195600734,0.005990332712583868
Temp,0.6593579704641783,0.662998843415426,0.003640872951247709
Alkalinephos,0.9854578668117117,0.9819880521630253,0.0034698146486863424
AST,0.9850627559240976,0.9820941608395318,0.002968595084565817
Fibrinogen,0.9921798832113792,0.9943072695054275,0.0021273862940482946
Bilirubin_direct,0.9983220615551975,0.9976868308521588,0.000635230703038725
Age,0.0,0.0,0.0
ICULOS,0.0,0.0,0.0
HospAdmTime,0.0,0.0,0.0
Gender,0.0,0.0,0.0
SepsisLabel,0.0,0.0,0.0
